id	source	target	collection	langid	scores
33529	11. Se félicite de la décision des pays qui ont annulé la dette officielle bilatérale et invite instamment les pays créanciers qui ne l' ont pas encore fait à envisager d' annuler entièrement la dette officielle bilatérale des pays admis au bénéfice de l' Initiative en faveur des pays pauvres très endettés ou de leur accorder un allégement équivalent et , s' il y a lieu , de prendre des mesures , notamment d' allégement de la dette , afin de répondre aux besoins des pays qui sortent d' un conflit , en particulier ceux qui ont des arriérés de longue date , des pays en développement victimes de graves catastrophes naturelles et des pays pauvres dont les indicateurs du développement social et humain sont très bas , et souligne l' importance de créer des coalitions regroupant dans tous les pays les organisations de la société civile et les organisations non gouvernementales , pour que la remise de la dette annoncée prenne effet le plus rapidement possible ;	11 - ترحب بقرار البلدان التي ألغت الديون الرسمية الثنائية ، وتحث البلدان الدائنة التي لم تفعل ذلك بعد على النظر في إمكانية الإلغاء الكلي والتخفيف المعادل للديون الرسمية الثنائية للبلدان المؤهلة بموجب مبادرة البلدان الفقيرة المثقلة بالديون ، وعلى اتخاذ إجراءات ، حسب الاقتضاء ، لتلبية احتياجات البلدان في مرحلة ما بعد الصراعات ، ولا سيما البلدان التي عليها متأخرات طويلة الأمد ، والبلدان النامية التي أصابتها كوارث طبيعية جسيمة ، والبلدان الفقيرة ذات المؤشرات المنخفضة جدا في مجال التنمية الاجتماعية والبشرية ، بما في ذلك النظر في إمكانية اتخاذ التدابير اللازمة لتخفيف الديون ، وتشدد على أهمية إقامة تحالفات مع منظمات المجتمع المدني والمنظمات غير الحكومية في جميع البلدان لكفالة تنفيذ التصريحات الواعدة بالإعفاء من الديون في أسرع وقت ممكن ؛	UN	fr	31.18328484
8948	Strefa przemysłowa dla inwestycji zagranicznych .	بيئة جاذبة للاستثمار الأجنبي .	WikiMatrix	pl	30.21375397
7915	Delegados de mais de 180 países a ouviram dizer : " Se há uma mensagem que ecoa adiante desta conferência , é que os direitos humanos são os direitos das mulheres e os direitos das mulheres são direitos humanos , de uma vez por todas . "	وسمع قولها أكثر من 180 دولة وهي تقول : ' ' إذا كانت هناك رسالة واحدة علينا نخرج بها من هذا المؤتمر ، فحقوق الإنسان هي حقوق المرأة وحقوق المرأة هي حقوق الإنسان ، مرة واحدة وإلى الأبد . "	WikiMatrix	pt	27.72422763
5720	2011 년 11 월 28 일에 확인함 . “ Factbox : Policies of Spain 's People 's Party ” .	اطلع عليه بتاريخ 28 نوفمبر 2011 . " Factbox : Policies of Spain 's People 's Party " .	WikiMatrix	ko	26.55462568
3935	Tel . 09 816 31300	هاتف : 09 816 31300	infopankki	tr	24.27458859
8807	( A reivindicação foi estendida em 1917 para incluir um setor da Antártida atingindo o pólo sul ) .	( تم تمديد المطالبة في عام 1917 لتشمل أيضا قطاع من القارة القطبية الجنوبية يصل إلى القطب الجنوبي . )	WikiMatrix	pt	22.70009551
15610	подчеркивая  ,  что  поощрение  ,  защита  и  реализация  права  на  развитие  являются  неотъемлемой  частью  поощрения  и  защиты  всех  прав  человека	وإذ تؤكد أن تعزيز وحماية وإعمال الحق في التنمية تشكل جزءا لا يتجزأ من تعزيز وحماية وجميع حقوق الإنسان ،	UN	ru	22.01224845
57715	The judiciary comprises the Supreme Court and specialized courts such as the Constitutional Court , which deals with specific issues related to constitutional and business law .	تتألف السلطة القضائية من المحكمة العليا ومحاكم متخصصة مثل المحكمة الدستورية ، التي تتناول قضايا محددة تتعلق بالأحكام الدستورية والقانون التجاري .	Wikipedia	en	21.80019396
12687	Fin da giovane Drake amava l' elettronica e la chimica .	في شبابه ، كان دريك مولعاً بالإلكترونيات والكيمياء .	WikiMatrix	it	20.55668085
10357	Eles estavam mal vestidos porque estavam dormindo e correram para a segurança da floresta próxima , onde as árvores ajudariam a diminuir a neve que se aproximava .	كانوا يرتدون ملابس غير كافية لأنهم كانوا نائمين ، وركضوا إلى أمان الغابات القريبة حيث تساعد الأشجار على إبطاء تساقط الثلوج .	WikiMatrix	pt	20.28736642
